country,year,sex,duration,value,quality_obs_flag,quality_conf_status,dataflow,last_update,freq,age,unit
Denmark,2019,Females,From 0 to 11 months,19.1,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Denmark,2020,Females,From 0 to 11 months,19.4,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Denmark,2021,Females,From 0 to 11 months,20.0,b,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Denmark,2022,Females,From 0 to 11 months,22.6,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Denmark,2023,Females,From 0 to 11 months,20.9,b,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Denmark,2024,Females,From 0 to 11 months,20.6,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Denmark,2025,Females,From 0 to 11 months,19.4,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Euro area – 21 countries (from 2026),2016,Females,From 0 to 11 months,13.4,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Euro area – 21 countries (from 2026),2017,Females,From 0 to 11 months,13.9,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Euro area – 21 countries (from 2026),2018,Females,From 0 to 11 months,14.0,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Euro area – 21 countries (from 2026),2019,Females,From 0 to 11 months,14.1,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Euro area – 21 countries (from 2026),2020,Females,From 0 to 11 months,12.8,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Euro area – 21 countries (from 2026),2021,Females,From 0 to 11 months,13.8,b,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Euro area – 21 countries (from 2026),2022,Females,From 0 to 11 months,15.2,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Euro area – 21 countries (from 2026),2023,Females,From 0 to 11 months,14.9,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Euro area – 21 countries (from 2026),2024,Females,From 0 to 11 months,14.0,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Euro area – 21 countries (from 2026),2025,Females,From 0 to 11 months,13.2,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Estonia,2016,Females,From 0 to 11 months,16.0,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Estonia,2017,Females,From 0 to 11 months,17.4,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Estonia,2018,Females,From 0 to 11 months,19.3,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Estonia,2019,Females,From 0 to 11 months,19.1,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Estonia,2020,Females,From 0 to 11 months,15.9,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Estonia,2021,Females,From 0 to 11 months,15.4,b,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Estonia,2022,Females,From 0 to 11 months,18.2,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Estonia,2023,Females,From 0 to 11 months,16.0,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Estonia,2024,Females,From 0 to 11 months,14.9,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Estonia,2025,Females,From 0 to 11 months,14.4,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Greece,2016,Females,From 0 to 11 months,10.1,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Greece,2017,Females,From 0 to 11 months,11.3,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Greece,2018,Females,From 0 to 11 months,11.2,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
