country,year,sex,value,quality_obs_status_label,quality_note_indicator_label,quality_note_source_label,source_label,indicator_label
Austria,2020,Male,39.28,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2020,Female,31.62,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2019,Male,39.5,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2019,Female,31.55,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2018,Male,39.5,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2018,Female,31.56,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2017,Male,39.47,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2017,Female,31.54,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2016,Male,39.58,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2016,Female,31.64,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2015,Male,39.82,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2015,Female,31.65,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Burundi,2020,Male,44.12,,,Repository: ILO-STATISTICS - Micro data processing,HIES - Living Standards Survey,Mean weekly hours usually worked per employee by sex
Burundi,2020,Female,37.44,,,Repository: ILO-STATISTICS - Micro data processing,HIES - Living Standards Survey,Mean weekly hours usually worked per employee by sex
Belgium,2024,Male,37.48,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2024,Female,32.47,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2023,Male,37.54,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2023,Female,32.48,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2022,Male,37.82,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2022,Female,32.69,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2021,Male,38.11,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2021,Female,32.67,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2020,Male,37.74,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2020,Female,32.59,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2019,Male,38.19,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2019,Female,32.43,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2018,Male,38.27,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2018,Female,32.52,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2017,Male,38.3,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2017,Female,32.28,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2016,Male,38.14,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2016,Female,32.05,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2015,Male,38.14,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Belgium,2015,Female,32.01,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Benin,2022,Male,46.83,,,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,Mean weekly hours usually worked per employee by sex
Benin,2022,Female,45.0,,,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,Mean weekly hours usually worked per employee by sex
Benin,2019,Male,47.92,,,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,Mean weekly hours usually worked per employee by sex
Benin,2019,Female,47.61,,,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,Mean weekly hours usually worked per employee by sex
